State,Year,Male_le,Female_le
ALABAMA,2009,72.5,78.2
ALASKA,2009,75.6,80.5
ARIZONA,2009,77.6,82.4
ARKANSAS,2009,73.0,79.1
CALIFORNIA,2009,78.1,82.8
COLORADO,2009,77.8,82.1
CONNECTICUT,2009,78.3,82.6
DELAWARE,2009,76.2,80.9
DISTRICT OF COLUMBIA,2009,73.0,81.2
FLORIDA,2009,76.5,82.1
GEORGIA,2009,75.0,79.9
HAWAII,2009,77.5,84.1
IDAHO,2009,77.6,81.8
ILLINOIS,2009,76.3,81.4
INDIANA,2009,74.9,80.0
IOWA,2009,77.0,81.9
KANSAS,2009,76.0,80.7
KENTUCKY,2009,73.3,78.6
LOUISIANA,2009,72.6,78.7
MAINE,2009,76.7,81.6
MARYLAND,2009,75.9,81.1
MASSACHUSETTS,2009,78.1,82.6
MICHIGAN,2009,75.7,80.7
MINNESOTA,2009,78.5,83.3
MISSISSIPPI,2009,71.8,78.3
MISSOURI,2009,74.8,80.2
MONTANA,2009,76.3,80.8
NEBRASKA,2009,77.3,81.7
NEVADA,2009,75.5,80.4
NEW HAMPSHIRE,2009,78.4,82.7
NEW JERSEY,2009,77.8,82.2
NEW MEXICO,2009,75.6,81.0
NEW YORK,2009,77.8,82.7
NORTH CAROLINA,2009,75.1,80.3
NORTH DAKOTA,2009,76.5,82.2
OHIO,2009,75.1,80.2
OKLAHOMA,2009,73.0,78.3
OREGON,2009,77.2,81.7
PENNSYLVANIA,2009,75.7,81.0
RHODE ISLAND,2009,77.0,82.3
SOUTH CAROLINA,2009,74.0,80.2
SOUTH DAKOTA,2009,76.8,82.4
TENNESSEE,2009,73.5,79.1
TEXAS,2009,75.9,80.8
UTAH,2009,78.8,82.2
VERMONT,2009,78.4,82.8
VIRGINIA,2009,76.4,81.1
WASHINGTON,2009,77.8,81.9
WEST VIRGINIA,2009,72.5,78.1
WISCONSIN,2009,77.4,82.4
WYOMING,2009,75.9,80.7
