State,2009
Alaska,49924
Alabama,398402
Arkansas,247966
Arizona,529698
California,2368734
Colorado,302436
Connecticut,186426
Delaware,70796
District of Columbia,73168
Florida,1651102
Georgia,806116
Hawaii,102132
Iowa,157130
Idaho,70050
Illinois,808414.676
Indiana,442724
Kansas,204780
Kentucky,239828
Louisiana,402994
Massachusetts,367362
Maryland,431840
Maine,66572
Michigan,667688
Minnesota,304320
Missouri,462592
Mississippi,191556
Montana,55248
North Carolina,763306
North Dakota,29072
Nebraska,109860
New Hampshire,61830
New Jersey,415730
New Mexico,174696
Nevada,199230
New York,905294
Ohio,829502
Oklahoma,301820
Oregon,249496
Pennsylvania,650740
Rhode Island,60472
South Carolina,418218
South Dakota,32310
Tennessee,558180
Texas,2233532
Utah,195498
Virginia,424430
Vermont,31694
Washington,535254
Wisconsin,324684
West Virginia,103538
Wyoming,30878
