State,Number,Rates
Alabama,2774,60.3
Alaska,384,57.3
Arizona,9113,147.8
Arkansas,1537,54.7
California,41396,113.5
Colorado,4395,92.5
Connecticut,2305,65.8
Delaware,569,66.7
District of Columbia,765,131.5
Florida,17780,98.3
Georgia,8084,86.3
Hawaii,615,47.8
Idaho,718,49
Illinois,10080,78.6
Indiana,3928,62.2
Iowa,1041,34.9
Kansas,1626,58.8
Kentucky,1766,42
Louisiana,2256,52.6
Maine,525,39.7
Maryland,4656,82.9
Massachusetts,4102,63.7
Michigan,6784,67.2
Minnesota,2872,55.6
Mississippi,1494,51.3
Missouri,3753,64.2
Montana,434,45.9
Nebraska,868,49.1
Nevada,2994,120
New Hampshire,606,46.1
New Jersey,6394,73.3
New Mexico,1621,82.9
New York,16452,85.2
North Carolina,5748,64.9
North Dakota,189,29.7
Ohio,6878,59.9
Oklahoma,2254,63
Oregon,2815,76.1
Pennsylvania,8080,64.9
Rhode Island,615,57.6
South Carolina,2408,55.7
South Dakota,236,30.2
Tennessee,3700,61.3
Texas,26006,110.6
Utah,1577,61.8
Vermont,178,28.5
Virginia,5137,67.2
Washington,5336,83.4
West Virginia,715,39.3
Wisconsin,2536,45.6
Wyoming,218,42.3
