State,Total_twothousandeight,Total_twothousandnine
"Alabama",4192.6,3877.6
"Alaska",2920.4,2934.5
"Arizona",3805.5,3302.0
"Arkansas",3911.0,3885.1
"California",2940.3,2728.2
"Colorado",2818.5,2683.6
"Connecticut",2490.8,2345.8
"Delaware",3594.7,3351.7
"District of Columbia",5104.6,4751.9
"Florida",4141.3,3841.1
"Georgia",4068.7,3748.0
"Hawaii",3566.5,3668.7
"Idaho",2089.0,2017.1
"Illinois",3497.9,3185.7
"Indiana",3571.2,3305.6
"Iowa",2522.2,2436.4
"Kansas",3384.8,3249.4
"Kentucky",2705.1,2558.5
"Louisiana",3780.3,3820.8
"Maine",2463.7,2405.1
"Maryland",3516.0,3198.4
"Massachusetts",2393.3,2329.2
"Michigan",2969.8,2856.3
"Minnesota",2893.1,2653.6
"Mississippi",3286.7,3335.9
"Missouri",3682.3,3422.6
"Montana",2733.1,2544.0
"Nebraska",2544.0,2878.4
"Nevada",3456.4,3060.4
"New Hampshire",2217.5,2283.4
"New Jersey",2291.4,2075.2
"New Mexico",3923.6,3866.0
"New York",2004.8,1927.5
"North Carolina",4155.9,3729.7
"North Dakota",2142.7,2008.6
"Ohio",3597.0,3337.0
"Oklahoma",3525.3,3637.8
"Oregon",3349.5,2987.3
"Pennsylvania",2424.8,2219.2
"Rhode Island",2845.0,2616.6
"South Carolina",4211.4,3887.1
"South Dakota",1880.6,1825.2
"Tennessee",4028.1,3766.6
"Texas",3985.6,4017.2
"Utah",3395.3,3308.8
"Virginia",2535.5,2456.1
"Vermont",2620.3,2442.1
"Washington",3783.6,3745.6
"West Virginia",2717.9,2706.2
"Wisconsin",2770.2,2612.6
"Wyoming",2720.2,2613.9
