State,Number,Rate
Alabama,4708,102.4
Alaska,1079,161
Arizona,9222,149.6
Arkansas,2428,86.4
California,49070,134.6
Colorado,7657,161.1
Connecticut,4695,134
Delaware,1119,131.1
District of Columbia,1139,195.9
Florida,25902,143.2
Georgia,11941,127.5
Hawaii,2020,157.1
Idaho,2012,137.2
Illinois,13908,108.4
Indiana,7863,124.5
Iowa,2666,89.4
Kansas,3068,111
Kentucky,4477,106.4
Louisiana,3981,92.8
Maine,1791,135.5
Maryland,8653,154.1
Massachusetts,7333,113.9
Michigan,11665,115.5
Minnesota,5860,113.4
Mississippi,2318,79.6
Missouri,7331,125.5
Montana,1289,136.5
Nebraska,1968,111.3
Nevada,4222,169.2
New Hampshire,1964,149.4
New Jersey,11284,129.3
New Mexico,2406,123.1
New York,21129,109.4
North Carolina,10300,116.3
North Dakota,544,85.6
Ohio,14241,124.1
Oklahoma,3711,103.7
Oregon,5583,150.9
Pennsylvania,16242,130.6
Rhode Island,1153,108
South Carolina,4841,112
South Dakota,618,79
Tennessee,6871,113.8
Texas,25425,108.2
Utah,4563,178.9
Vermont,718,115.1
Virginia,12039,157.5
Washington,10451,163.4
West Virginia,2058,113.2
Wisconsin,6724,121
Wyoming,657,127.6
