Rank,'State',"Life Expectancy
(in years)"
1,'Hawaii',81.5
2,'Minnesota',80.9
3,'California',80.4
4,'New York',80.4
5,'Connecticut',80.2
6,'Massachusetts',80.1
7,'North Dakota',80.1
8,'Utah',80.1
9,'Colorado',79.9
10,'Arizona',79.9
11,'South Dakota',79.9
12,'New Hampshire',79.7
13,'Vermont',79.7
14,'Florida',79.7
15,'Iowa',79.7
16,'New Jersey',79.7
17,'Washington',79.7
18,'Wisconsin',79.3
19,'Rhode Island',79.3
20,'Idaho',79.2
21,'Nebraska',79.2
22,'Oregon',79
23,'Illinois',78.8
24,'Maine',78.7
25,'Virginia',78.5
26,'Kansas',78.4
27,'Montana',78.4
28,'Delaware',78.3
29,'Alaska',78.3
30,'Texas',78.3
31,'New Mexico',78.2
32,'Pennsylvania',78.2
33,'Maryland',78.1
34,'Michigan',77.9
35,'Indiana',77.7
36,'Wyoming',77.6
37,'Nevada',77.6
38,'Ohio',77.5
39,'Missouri',77.4
40,'North Carolina',77.2
41,'Georgia',77.1
42,'South Carolina',76.6
43,'Tennessee',76.2
44,'Kentucky',76.2
45,'Arkansas',76.1
46,'District of Columbia',75.6
47,'Oklahoma',75.6
48,'Louisiana',75.4
49,'Alabama',75.2
50,'West Virginia',75.2
51,'Mississippi',74.8
