State,Unemp,LifeExp,Crime
Alabama,73.0158730159,92.0050761421,2.10762373487
Alaska,57.9365079365,95.9390862944,16.8191954014
Arizona,71.4285714286,98.4771573604,10.4682923452
Arkansas,57.9365079365,92.6395939086,22.3620718916
California,83.3333333333,99.1116751269,100.0
Colorado,61.1111111111,98.730964467,12.7678329437
Connecticut,61.1111111111,99.3654822335,7.87028007366
Delaware,59.5238095238,96.7005076142,2.98876952836
District of Columbia,71.4285714286,92.6395939086,3.08890740792
Florida,76.1904761905,97.0812182741,69.7039853356
Georgia,73.0158730159,95.1776649746,34.0315121917
Hawaii,53.1746031746,98.3502538071,4.31167028463
Idaho,53.1746031746,98.4771573604,6.63350127114
Illinois,71.4285714286,96.8274111675,2.95727591194
Indiana,80.9523809524,95.0507614213,34.1285545781
Iowa,48.4126984127,97.7157360406,18.6903214966
Kansas,53.9682539683,96.4467005076,8.64512435757
Kentucky,78.5714285714,93.0203045685,10.1247332964
Louisiana,50.0,92.1319796954,17.0130542307
Maine,63.4920634921,97.3350253807,15.5087907718
Maryland,55.5555555556,96.3197969543,18.2308355434
Massachusetts,60.3174603175,99.1116751269,2.81044642412
Michigan,100.0,96.0659898477,28.1875465966
Minnesota,64.2857142857,99.6192893401,12.847369101
Mississippi,68.253968254,91.116751269,19.5290817795
Missouri,73.0158730159,94.923857868,8.08685145736
Montana,44.4444444444,96.8274111675,2.33238514751
Nebraska,34.9206349206,98.0964467005,32.2242176623
Nevada,82.5396825397,95.8121827411,1.22732227426
New Hampshire,46.0317460317,99.4923857868,4.63792050944
New Jersey,65.873015873,98.730964467,2.61025509829
New Mexico,48.4126984127,95.9390862944,17.5507254086
New York,61.9047619048,98.730964467,7.37507883958
North Carolina,79.3650793651,95.3045685279,8.41082198339
North Dakota,33.3333333333,97.0812182741,38.21847451
Ohio,76.1904761905,95.3045685279,35.0187906282
Oklahoma,48.4126984127,92.6395939086,12.741827491
Oregon,88.0952380952,97.9695431472,10.5328838105
Pennsylvania,58.7301587302,96.0659898477,27.4720589142
Rhode Island,80.1587301587,97.7157360406,2.55292489575
South Carolina,88.0952380952,93.9086294416,17.6557604189
South Dakota,41.2698412698,97.461928934,1.36401976752
Tennessee,80.9523809524,93.2741116751,23.5644863459
Texas,53.9682539683,96.3197969543,94.2922252984
Utah,57.1428571429,100.0,8.25326946799
Vermont,55.5555555556,99.4923857868,17.9180102114
Virginia,52.380952381,96.9543147208,1.33801431482
Washington,69.8412698413,98.730964467,22.5966275656
West Virginia,53.9682539683,92.0050761421,13.7070688393
Wisconsin,66.6666666667,98.2233502538,4.37102688609
Wyoming,40.4761904762,96.3197969543,1.30356553332
